classifieds_unique_listing_id,text_stop_stem,label1,label2,label3
class_u_0000001002,ringneck breed pair readi breed season guarante breed pair sale blue split head tail cock blue head tail hen breed blue head tail cock hen breed opalin pair green split opalin cock split blue violet head tail hen breed blue cobalt green dark green opalin split head tail hen blue cobalt green dark green split head tail split opalin cock,0,0,0
class_u_0000001006,rainbow budgi gorgeous month male budgi fed qualiti seed fresh veggi daili worm mite lice treat dad opalin clearw mum golden clearw pick croydon hill,0,0,0
class_u_0000001009,serbian highflyer pigeon serbian highfli pigeon sale locat port augusta,0,1,NA
class_u_0000001016,rainbow lorikeet cage meet larri larri approx larri loud social learn nois cage fit perfect corner hous,0,0,0
class_u_0000001019,race pigeon race pigeon left special bring cage email,0,1,NA
class_u_0000001020,holiday parrot care holiday pet care tail wag keep parrot holiday,1,0,0
class_u_0000001027,hand tame babi budgi babi budgi hand tame yellow red eye red eye pure white red eye yellow red eye spot white blue rainbow male femal hand tame babi budgi week nest readi home love varieti colour babi budgi hand tame activ healthi bird stock bring suitabl box cage call sms,0,0,0
class_u_0000001034,bird budgi averi budgi assort colour sale,0,0,0
class_u_0000001035,bird parrot budgi cockatiel love bird parrot varieti bird sale blue front amazon pair green quaker galah rainbow lorikeet yellow indian ringneck opalin turk parrot pair scarlet chest parrot male eastern rosella male peach love bird yellow colour violet mask love bird fisher love bird blue grey violet cockatiel colour albino cockatiel club rung burdgi budgi text messag gumtre messag ring mobil,0,0,0
class_u_0000001039,conur breed pair breed pair conur sale pair,0,0,0
class_u_0000001042,budgi sale bird blue white,0,0,0
class_u_0000001045,budgi sale colour budgi pet cheap contact tank,1,0,0
class_u_0000001047,bird cage sale bird cage perfect cockatiel similar,1,0,0
class_u_0000001050,bird bar feed train stand bird parrot bar train stand wheel,1,0,0
class_u_0000001056,want canari want canari adult type bird sale pk pet magil stepney,0,0,1
class_u_0000001068,golden pheasant golden pheasant month male femal,0,1,0
class_u_0000001070,macaw yellow collar beauti yellow collar macaw month play owner spend time,0,0,0
class_u_0000001088,cage bird cage sale breed box cover food bowl,1,0,0
class_u_0000001093,want rehom bird ayden budgi prefer want budgi cockatiel spray budgi week aviari cage clean feel free text text gumtre doesn bother ad mean,0,0,1
